,,,time(s),Vout,Vin
,,,-0.01195,0.64,1.12
,,,-0.01194,0.68,1.04
,,,-0.01193,0.68,0.88
,,,-0.01192,0.68,0.76
,,,-0.01191,0.68,0.64
,,,-0.0119,0.68,0.52
,,,-0.01189,0.68,0.36
,,,-0.01188,0.68,0.24
,,,-0.01187,0.68,0.16
,,,-0.01186,0.64,0.04
,,,-0.01185,0.6,-0.08
,,,-0.01184,0.6,-0.12
,,,-0.01183,0.56,-0.16
,,,-0.01182,0.56,-0.24
,,,-0.01181,0.52,-0.24
,,,-0.0118,0.52,-0.28
,,,-0.01179,0.52,-0.28
,,,-0.01178,0.48,-0.24
,,,-0.01177,0.48,-0.24
,,,-0.01176,0.48,-0.16
,,,-0.01175,0.44,-0.08
,,,-0.01174,0.44,-0.04
,,,-0.01173,0.4,0.12
,,,-0.01172,0.4,0.2
,,,-0.01171,0.4,0.28
,,,-0.0117,0.44,0.44
,,,-0.01169,0.4,0.56
,,,-0.01168,0.4,0.72
,,,-0.01167,0.44,0.88
,,,-0.01166,0.44,1.04
,,,-0.01165,0.44,1.16
,,,-0.01164,0.48,1.28
,,,-0.01163,0.48,1.4
,,,-0.01162,0.52,1.56
,,,-0.01161,0.56,1.64
,,,-0.0116,0.56,1.76
,,,-0.01159,0.6,1.84
,,,-0.01158,0.6,1.92
,,,-0.01157,0.64,2
,,,-0.01156,0.72,2
,,,-0.01155,0.72,2.04
,,,-0.01154,0.72,2.04
,,,-0.01153,0.76,2.08
,,,-0.01152,0.8,2.04
,,,-0.01151,0.8,2
,,,-0.0115,0.84,1.92
,,,-0.01149,0.84,1.88
,,,-0.01148,0.88,1.76
,,,-0.01147,0.88,1.68
,,,-0.01146,0.92,1.6
,,,-0.01145,0.92,1.48
,,,-0.01144,0.92,1.32
,,,-0.01143,0.96,1.2
,,,-0.01142,0.96,1.08
,,,-0.01141,0.96,0.96
,,,-0.0114,0.92,0.8
,,,-0.01139,0.92,0.68
,,,-0.01138,0.92,0.56
,,,-0.01137,0.92,0.48
,,,-0.01136,0.88,0.36
,,,-0.01135,0.92,0.28
,,,-0.01134,0.88,0.2
,,,-0.01133,0.84,0.12
,,,-0.01132,0.84,0.08
,,,-0.01131,0.8,0.04
,,,-0.0113,0.8,0
,,,-0.01129,0.8,0.04
,,,-0.01128,0.76,0.08
,,,-0.01127,0.76,0.12
,,,-0.01126,0.72,0.16
,,,-0.01125,0.72,0.24
,,,-0.01124,0.72,0.28
,,,-0.01123,0.72,0.4
,,,-0.01122,0.72,0.52
,,,-0.01121,0.72,0.6
,,,-0.0112,0.72,0.76
,,,-0.01119,0.72,0.88
,,,-0.01118,0.72,1.04
,,,-0.01117,0.72,1.16
,,,-0.01116,0.72,1.32
,,,-0.01115,0.76,1.44
,,,-0.01114,0.76,1.6
,,,-0.01113,0.76,1.72
,,,-0.01112,0.8,1.84
,,,-0.01111,0.84,1.96
,,,-0.0111,0.88,2.08
,,,-0.01109,0.88,2.16
,,,-0.01108,0.92,2.24
,,,-0.01107,0.92,2.28
,,,-0.01106,1,2.36
,,,-0.01105,1,2.36
,,,-0.01104,1,2.36
,,,-0.01103,1.08,2.32
,,,-0.01102,1.08,2.32
,,,-0.01101,1.12,2.28
,,,-0.011,1.12,2.24
,,,-0.01099,1.16,2.16
,,,-0.01098,1.16,2.08
,,,-0.01097,1.2,2
,,,-0.01096,1.2,1.88
,,,-0.01095,1.24,1.76
,,,-0.01094,1.24,1.64
,,,-0.01093,1.24,1.52
,,,-0.01092,1.24,1.4
,,,-0.01091,1.24,1.24
,,,-0.0109,1.2,1.12
,,,-0.01089,1.24,1
,,,-0.01088,1.2,0.88
,,,-0.01087,1.24,0.8
,,,-0.01086,1.2,0.68
,,,-0.01085,1.2,0.6
,,,-0.01084,1.16,0.48
,,,-0.01083,1.16,0.44
,,,-0.01082,1.16,0.4
,,,-0.01081,1.12,0.36
,,,-0.0108,1.12,0.32
,,,-0.01079,1.12,0.36
,,,-0.01078,1.08,0.36
,,,-0.01077,1.08,0.4
,,,-0.01076,1.08,0.44
,,,-0.01075,1.04,0.52
,,,-0.01074,1.04,0.6
,,,-0.01073,1,0.68
,,,-0.01072,1,0.8
,,,-0.01071,1,0.92
,,,-0.0107,1,1.08
,,,-0.01069,1,1.2
,,,-0.01068,1.04,1.36
,,,-0.01067,1.04,1.48
,,,-0.01066,1.04,1.6
,,,-0.01065,1.04,1.76
,,,-0.01064,1.04,1.88
,,,-0.01063,1.12,2.04
,,,-0.01062,1.12,2.16
,,,-0.01061,1.12,2.28
,,,-0.0106,1.12,2.36
,,,-0.01059,1.2,2.48
,,,-0.01058,1.2,2.52
,,,-0.01057,1.24,2.6
,,,-0.01056,1.24,2.64
,,,-0.01055,1.32,2.68
,,,-0.01054,1.36,2.68
,,,-0.01053,1.36,2.68
,,,-0.01052,1.4,2.64
,,,-0.01051,1.4,2.6
,,,-0.0105,1.44,2.52
,,,-0.01049,1.48,2.44
,,,-0.01048,1.48,2.4
,,,-0.01047,1.52,2.28
,,,-0.01046,1.52,2.16
,,,-0.01045,1.52,2.04
,,,-0.01044,1.52,1.92
,,,-0.01043,1.56,1.8
,,,-0.01042,1.52,1.68
,,,-0.01041,1.52,1.56
,,,-0.0104,1.56,1.4
,,,-0.01039,1.56,1.28
,,,-0.01038,1.56,1.16
,,,-0.01037,1.52,1.04
,,,-0.01036,1.48,1
,,,-0.01035,1.48,0.84
,,,-0.01034,1.48,0.8
,,,-0.01033,1.44,0.72
,,,-0.01032,1.44,0.68
,,,-0.01031,1.4,0.6
,,,-0.0103,1.4,0.6
,,,-0.01029,1.4,0.64
,,,-0.01028,1.36,0.64
,,,-0.01027,1.36,0.68
,,,-0.01026,1.32,0.72
,,,-0.01025,1.32,0.8
,,,-0.01024,1.32,0.88
,,,-0.01023,1.28,0.96
,,,-0.01022,1.32,1.08
,,,-0.01021,1.28,1.2
,,,-0.0102,1.28,1.32
,,,-0.01019,1.28,1.48
,,,-0.01018,1.28,1.6
,,,-0.01017,1.24,1.76
,,,-0.01016,1.28,1.88
,,,-0.01015,1.32,2.04
,,,-0.01014,1.36,2.16
,,,-0.01013,1.36,2.28
,,,-0.01012,1.4,2.4
,,,-0.01011,1.4,2.52
,,,-0.0101,1.44,2.64
,,,-0.01009,1.48,2.72
,,,-0.01008,1.48,2.76
,,,-0.01007,1.52,2.8
,,,-0.01006,1.56,2.88
,,,-0.01005,1.56,2.88
,,,-0.01004,1.6,2.92
,,,-0.01003,1.64,2.88
,,,-0.01002,1.68,2.88
,,,-0.01001,1.68,2.8
,,,-0.01,1.72,2.76
,,,-0.00999,1.72,2.68
,,,-0.00998,1.72,2.6
,,,-0.00997,1.72,2.48
,,,-0.00996,1.8,2.4
,,,-0.00995,1.8,2.28
,,,-0.00994,1.8,2.16
,,,-0.00993,1.84,2.04
,,,-0.00992,1.8,1.88
,,,-0.00991,1.8,1.76
,,,-0.0099,1.8,1.64
,,,-0.00989,1.8,1.48
,,,-0.00988,1.76,1.36
,,,-0.00987,1.8,1.28
,,,-0.00986,1.76,1.16
,,,-0.00985,1.76,1.08
,,,-0.00984,1.76,1
,,,-0.00983,1.72,0.92
,,,-0.00982,1.72,0.84
,,,-0.00981,1.68,0.84
,,,-0.0098,1.68,0.8
,,,-0.00979,1.64,0.8
,,,-0.00978,1.6,0.84
,,,-0.00977,1.56,0.88
,,,-0.00976,1.6,0.92
,,,-0.00975,1.56,1
,,,-0.00974,1.56,1.08
,,,-0.00973,1.56,1.16
,,,-0.00972,1.52,1.24
,,,-0.00971,1.52,1.4
,,,-0.0097,1.52,1.52
,,,-0.00969,1.52,1.64
,,,-0.00968,1.56,1.8
,,,-0.00967,1.56,1.92
,,,-0.00966,1.56,2.08
,,,-0.00965,1.56,2.2
,,,-0.00964,1.56,2.36
,,,-0.00963,1.56,2.48
,,,-0.00962,1.6,2.6
,,,-0.00961,1.64,2.68
,,,-0.0096,1.64,2.76
,,,-0.00959,1.68,2.88
,,,-0.00958,1.72,2.96
,,,-0.00957,1.76,3
,,,-0.00956,1.76,3.04
,,,-0.00955,1.8,3.04
,,,-0.00954,1.84,3.08
,,,-0.00953,1.84,3.08
,,,-0.00952,1.88,3.04
,,,-0.00951,1.92,2.96
,,,-0.0095,1.92,2.92
,,,-0.00949,1.96,2.84
,,,-0.00948,1.96,2.76
,,,-0.00947,1.96,2.68
,,,-0.00946,1.96,2.56
,,,-0.00945,2,2.44
,,,-0.00944,2,2.28
,,,-0.00943,2,2.2
,,,-0.00942,2,2.04
,,,-0.00941,2.04,1.88
,,,-0.0094,2,1.76
,,,-0.00939,2,1.64
,,,-0.00938,2,1.52
,,,-0.00937,2,1.4
,,,-0.00936,1.96,1.28
,,,-0.00935,1.92,1.2
,,,-0.00934,1.92,1.12
,,,-0.00933,1.92,1.04
,,,-0.00932,1.88,1
,,,-0.00931,1.88,1
,,,-0.0093,1.84,0.96
,,,-0.00929,1.84,0.96
,,,-0.00928,1.8,0.96
,,,-0.00927,1.8,1
,,,-0.00926,1.76,1.04
,,,-0.00925,1.76,1.12
,,,-0.00924,1.76,1.2
,,,-0.00923,1.72,1.28
,,,-0.00922,1.72,1.4
,,,-0.00921,1.72,1.48
,,,-0.0092,1.68,1.6
,,,-0.00919,1.68,1.76
,,,-0.00918,1.72,1.88
,,,-0.00917,1.72,2.04
,,,-0.00916,1.72,2.16
,,,-0.00915,1.72,2.28
,,,-0.00914,1.76,2.44
,,,-0.00913,1.76,2.52
,,,-0.00912,1.76,2.68
