,,,time(s),Vout,Vin
,,,-0.00558,0.72,1.52
,,,-0.00557,0.76,1.56
,,,-0.00556,0.76,1.6
,,,-0.00555,0.76,1.64
,,,-0.00554,0.8,1.6
,,,-0.00553,0.8,1.56
,,,-0.00552,0.84,1.56
,,,-0.00551,0.88,1.48
,,,-0.0055,0.88,1.4
,,,-0.00549,0.84,1.36
,,,-0.00548,0.88,1.24
,,,-0.00547,0.88,1.12
,,,-0.00546,0.88,1.04
,,,-0.00545,0.92,0.88
,,,-0.00544,0.88,0.76
,,,-0.00543,0.88,0.64
,,,-0.00542,0.88,0.48
,,,-0.00541,0.84,0.32
,,,-0.0054,0.84,0.2
,,,-0.00539,0.84,0.04
,,,-0.00538,0.8,-0.08
,,,-0.00537,0.8,-0.2
,,,-0.00536,0.76,-0.32
,,,-0.00535,0.72,-0.4
,,,-0.00534,0.72,-0.48
,,,-0.00533,0.68,-0.56
,,,-0.00532,0.68,-0.6
,,,-0.00531,0.6,-0.68
,,,-0.0053,0.6,-0.68
,,,-0.00529,0.56,-0.72
,,,-0.00528,0.56,-0.68
,,,-0.00527,0.48,-0.68
,,,-0.00526,0.48,-0.6
,,,-0.00525,0.44,-0.52
,,,-0.00524,0.44,-0.52
,,,-0.00523,0.4,-0.4
,,,-0.00522,0.4,-0.32
,,,-0.00521,0.4,-0.2
,,,-0.0052,0.36,-0.08
,,,-0.00519,0.36,0.04
,,,-0.00518,0.36,0.16
,,,-0.00517,0.36,0.28
,,,-0.00516,0.36,0.44
,,,-0.00515,0.36,0.56
,,,-0.00514,0.36,0.68
,,,-0.00513,0.36,0.8
,,,-0.00512,0.36,0.92
,,,-0.00511,0.4,1.04
,,,-0.0051,0.4,1.12
,,,-0.00509,0.4,1.2
,,,-0.00508,0.44,1.28
,,,-0.00507,0.44,1.32
,,,-0.00506,0.48,1.32
,,,-0.00505,0.48,1.36
,,,-0.00504,0.52,1.36
,,,-0.00503,0.52,1.32
,,,-0.00502,0.56,1.32
,,,-0.00501,0.56,1.28
,,,-0.005,0.56,1.2
,,,-0.00499,0.6,1.12
,,,-0.00498,0.6,1.04
,,,-0.00497,0.6,0.92
,,,-0.00496,0.64,0.8
,,,-0.00495,0.6,0.68
,,,-0.00494,0.6,0.56
,,,-0.00493,0.6,0.4
,,,-0.00492,0.6,0.24
,,,-0.00491,0.6,0.12
,,,-0.0049,0.6,0
,,,-0.00489,0.56,-0.16
,,,-0.00488,0.56,-0.28
,,,-0.00487,0.52,-0.44
,,,-0.00486,0.48,-0.52
,,,-0.00485,0.48,-0.6
,,,-0.00484,0.44,-0.72
,,,-0.00483,0.4,-0.76
,,,-0.00482,0.4,-0.84
,,,-0.00481,0.36,-0.88
,,,-0.0048,0.36,-0.92
,,,-0.00479,0.32,-0.92
,,,-0.00478,0.28,-0.88
,,,-0.00477,0.24,-0.88
,,,-0.00476,0.24,-0.84
,,,-0.00475,0.2,-0.8
,,,-0.00474,0.2,-0.72
,,,-0.00473,0.16,-0.6
,,,-0.00472,0.16,-0.52
,,,-0.00471,0.12,-0.4
,,,-0.0047,0.12,-0.28
,,,-0.00469,0.12,-0.16
,,,-0.00468,0.12,0
,,,-0.00467,0.12,0.12
,,,-0.00466,0.12,0.24
,,,-0.00465,0.12,0.4
,,,-0.00464,0.12,0.52
,,,-0.00463,0.16,0.64
,,,-0.00462,0.12,0.72
,,,-0.00461,0.16,0.84
,,,-0.0046,0.2,0.96
,,,-0.00459,0.2,1.04
,,,-0.00458,0.2,1.12
,,,-0.00457,0.24,1.12
,,,-0.00456,0.24,1.16
,,,-0.00455,0.28,1.2
,,,-0.00454,0.32,1.2
,,,-0.00453,0.32,1.2
,,,-0.00452,0.36,1.16
,,,-0.00451,0.36,1.08
,,,-0.0045,0.36,1.04
,,,-0.00449,0.36,0.96
,,,-0.00448,0.36,0.88
,,,-0.00447,0.36,0.76
,,,-0.00446,0.4,0.64
,,,-0.00445,0.4,0.52
,,,-0.00444,0.4,0.36
,,,-0.00443,0.4,0.24
,,,-0.00442,0.36,0.12
,,,-0.00441,0.36,-0.04
,,,-0.0044,0.36,-0.2
,,,-0.00439,0.36,-0.28
,,,-0.00438,0.36,-0.44
,,,-0.00437,0.36,-0.52
,,,-0.00436,0.32,-0.64
,,,-0.00435,0.28,-0.76
,,,-0.00434,0.24,-0.84
,,,-0.00433,0.24,-0.92
,,,-0.00432,0.2,-0.96
,,,-0.00431,0.2,-1
,,,-0.0043,0.16,-1.04
,,,-0.00429,0.12,-1.04
,,,-0.00428,0.12,-1
,,,-0.00427,0.08,-1
,,,-0.00426,0.04,-0.92
,,,-0.00425,0.04,-0.88
,,,-0.00424,0,-0.8
,,,-0.00423,0,-0.72
,,,-0.00422,-0.04,-0.6
,,,-0.00421,-0.04,-0.48
,,,-0.0042,-0.04,-0.36
,,,-0.00419,-0.04,-0.28
,,,-0.00418,-0.04,-0.12
,,,-0.00417,-0.08,0
,,,-0.00416,-0.04,0.16
,,,-0.00415,-0.08,0.28
,,,-0.00414,-0.04,0.44
,,,-0.00413,0,0.56
,,,-0.00412,0,0.68
,,,-0.00411,0,0.76
,,,-0.0041,0,0.88
,,,-0.00409,0.04,0.96
,,,-0.00408,0.04,1
,,,-0.00407,0.12,1.08
,,,-0.00406,0.08,1.08
,,,-0.00405,0.12,1.12
,,,-0.00404,0.12,1.12
,,,-0.00403,0.16,1.08
,,,-0.00402,0.2,1.08
,,,-0.00401,0.2,1.04
,,,-0.004,0.24,0.96
,,,-0.00399,0.24,0.88
,,,-0.00398,0.24,0.8
,,,-0.00397,0.28,0.68
,,,-0.00396,0.28,0.56
,,,-0.00395,0.28,0.48
,,,-0.00394,0.28,0.32
,,,-0.00393,0.28,0.2
,,,-0.00392,0.28,0.04
,,,-0.00391,0.28,-0.08
,,,-0.0039,0.24,-0.2
,,,-0.00389,0.24,-0.36
,,,-0.00388,0.24,-0.48
,,,-0.00387,0.2,-0.6
,,,-0.00386,0.2,-0.72
,,,-0.00385,0.16,-0.8
,,,-0.00384,0.16,-0.88
,,,-0.00383,0.12,-0.96
,,,-0.00382,0.12,-1
,,,-0.00381,0.08,-1.04
,,,-0.0038,0.04,-1.04
,,,-0.00379,0,-1.04
,,,-0.00378,0,-1.04
,,,-0.00377,-0.04,-1
,,,-0.00376,-0.04,-0.96
,,,-0.00375,-0.04,-0.88
,,,-0.00374,-0.08,-0.8
,,,-0.00373,-0.08,-0.72
,,,-0.00372,-0.12,-0.6
,,,-0.00371,-0.12,-0.52
,,,-0.0037,-0.12,-0.4
,,,-0.00369,-0.16,-0.24
,,,-0.00368,-0.16,-0.12
,,,-0.00367,-0.12,0
,,,-0.00366,-0.12,0.12
,,,-0.00365,-0.12,0.28
,,,-0.00364,-0.12,0.4
,,,-0.00363,-0.12,0.56
,,,-0.00362,-0.08,0.68
,,,-0.00361,-0.08,0.76
,,,-0.0036,-0.08,0.88
,,,-0.00359,-0.04,0.96
,,,-0.00358,0,1.04
,,,-0.00357,0.04,1.08
,,,-0.00356,0.04,1.12
,,,-0.00355,0.08,1.12
,,,-0.00354,0.08,1.12
,,,-0.00353,0.12,1.12
,,,-0.00352,0.16,1.08
,,,-0.00351,0.16,1.08
,,,-0.0035,0.16,1.04
,,,-0.00349,0.16,0.88
,,,-0.00348,0.2,0.84
,,,-0.00347,0.24,0.72
,,,-0.00346,0.24,0.64
,,,-0.00345,0.24,0.48
,,,-0.00344,0.24,0.36
,,,-0.00343,0.24,0.24
,,,-0.00342,0.24,0.12
,,,-0.00341,0.24,-0.04
,,,-0.0034,0.24,-0.16
,,,-0.00339,0.2,-0.32
,,,-0.00338,0.2,-0.44
,,,-0.00337,0.16,-0.52
,,,-0.00336,0.16,-0.6
,,,-0.00335,0.16,-0.72
,,,-0.00334,0.12,-0.8
,,,-0.00333,0.08,-0.88
,,,-0.00332,0.08,-0.92
,,,-0.00331,0.08,-0.96
,,,-0.0033,0.04,-1
,,,-0.00329,0,-0.96
,,,-0.00328,0,-0.96
,,,-0.00327,-0.04,-0.92
,,,-0.00326,-0.08,-0.88
,,,-0.00325,-0.08,-0.8
,,,-0.00324,-0.08,-0.72
,,,-0.00323,-0.08,-0.64
,,,-0.00322,-0.12,-0.52
,,,-0.00321,-0.12,-0.44
,,,-0.0032,-0.12,-0.28
,,,-0.00319,-0.12,-0.16
,,,-0.00318,-0.12,-0.04
,,,-0.00317,-0.16,0.12
,,,-0.00316,-0.12,0.24
,,,-0.00315,-0.12,0.4
,,,-0.00314,-0.08,0.52
,,,-0.00313,-0.08,0.68
,,,-0.00312,-0.04,0.76
,,,-0.00311,-0.04,0.92
,,,-0.0031,0,0.96
,,,-0.00309,0,1.04
,,,-0.00308,0.04,1.12
,,,-0.00307,0.04,1.2
,,,-0.00306,0.04,1.24
,,,-0.00305,0.08,1.24
,,,-0.00304,0.12,1.28
,,,-0.00303,0.16,1.28
,,,-0.00302,0.16,1.2
,,,-0.00301,0.2,1.16
,,,-0.003,0.24,1.12
,,,-0.00299,0.24,1.08
,,,-0.00298,0.24,0.96
,,,-0.00297,0.24,0.88
,,,-0.00296,0.28,0.76
,,,-0.00295,0.28,0.64
,,,-0.00294,0.32,0.52
,,,-0.00293,0.32,0.36
,,,-0.00292,0.32,0.24
,,,-0.00291,0.32,0.12
,,,-0.0029,0.32,-0.04
,,,-0.00289,0.28,-0.12
,,,-0.00288,0.28,-0.28
,,,-0.00287,0.24,-0.4
,,,-0.00286,0.24,-0.52
,,,-0.00285,0.24,-0.56
,,,-0.00284,0.2,-0.64
,,,-0.00283,0.16,-0.72
,,,-0.00282,0.16,-0.76
,,,-0.00281,0.12,-0.8
,,,-0.0028,0.12,-0.84
,,,-0.00279,0.12,-0.8
,,,-0.00278,0.08,-0.8
,,,-0.00277,0.08,-0.8
,,,-0.00276,0.04,-0.72
,,,-0.00275,0,-0.68
,,,-0.00274,0,-0.56
,,,-0.00273,0,-0.48
,,,-0.00272,0,-0.36
,,,-0.00271,0,-0.24
,,,-0.0027,0,-0.08
,,,-0.00269,-0.04,0
,,,-0.00268,0,0.16
,,,-0.00267,-0.04,0.28
,,,-0.00266,0,0.44
,,,-0.00265,0,0.56
,,,-0.00264,0,0.72
,,,-0.00263,0.04,0.84
,,,-0.00262,0.04,0.96
,,,-0.00261,0.08,1.08
,,,-0.0026,0.08,1.16
,,,-0.00259,0.12,1.24
,,,-0.00258,0.16,1.36
,,,-0.00257,0.16,1.4
,,,-0.00256,0.2,1.48
,,,-0.00255,0.2,1.48
,,,-0.00254,0.24,1.48
,,,-0.00253,0.28,1.48
,,,-0.00252,0.32,1.44
,,,-0.00251,0.32,1.4
,,,-0.0025,0.36,1.32
,,,-0.00249,0.4,1.28
,,,-0.00248,0.4,1.16
,,,-0.00247,0.4,1.08
,,,-0.00246,0.4,1
,,,-0.00245,0.44,0.84
,,,-0.00244,0.44,0.72
,,,-0.00243,0.44,0.6
,,,-0.00242,0.44,0.48
,,,-0.00241,0.44,0.28
,,,-0.0024,0.44,0.2
,,,-0.00239,0.44,0.08
,,,-0.00238,0.4,-0.04
,,,-0.00237,0.4,-0.16
,,,-0.00236,0.4,-0.24
,,,-0.00235,0.4,-0.36
,,,-0.00234,0.36,-0.44
,,,-0.00233,0.36,-0.48
,,,-0.00232,0.32,-0.52
,,,-0.00231,0.32,-0.56
,,,-0.0023,0.28,-0.56
,,,-0.00229,0.28,-0.56
,,,-0.00228,0.2,-0.56
,,,-0.00227,0.24,-0.52
,,,-0.00226,0.2,-0.48
,,,-0.00225,0.2,-0.4
,,,-0.00224,0.16,-0.32
,,,-0.00223,0.16,-0.24
,,,-0.00222,0.16,-0.12
,,,-0.00221,0.16,0
,,,-0.0022,0.16,0.16
,,,-0.00219,0.16,0.28
,,,-0.00218,0.16,0.44
,,,-0.00217,0.16,0.56
,,,-0.00216,0.16,0.68
,,,-0.00215,0.16,0.84
,,,-0.00214,0.2,0.96
,,,-0.00213,0.24,1.12
,,,-0.00212,0.24,1.24
,,,-0.00211,0.24,1.32
,,,-0.0021,0.32,1.48
,,,-0.00209,0.32,1.56
,,,-0.00208,0.36,1.64
,,,-0.00207,0.4,1.64
,,,-0.00206,0.4,1.72
,,,-0.00205,0.44,1.72
,,,-0.00204,0.48,1.76
,,,-0.00203,0.52,1.76
,,,-0.00202,0.52,1.72
,,,-0.00201,0.56,1.68
,,,-0.002,0.56,1.64
,,,-0.00199,0.56,1.56
,,,-0.00198,0.6,1.48
,,,-0.00197,0.6,1.36
,,,-0.00196,0.64,1.24
,,,-0.00195,0.68,1.12
,,,-0.00194,0.68,1.04
,,,-0.00193,0.68,0.88
,,,-0.00192,0.68,0.76
,,,-0.00191,0.64,0.64
,,,-0.0019,0.68,0.48
,,,-0.00189,0.64,0.36
,,,-0.00188,0.64,0.24
,,,-0.00187,0.64,0.12
,,,-0.00186,0.6,0.04
,,,-0.00185,0.6,-0.04
,,,-0.00184,0.56,-0.16
,,,-0.00183,0.56,-0.2
,,,-0.00182,0.56,-0.24
,,,-0.00181,0.52,-0.24
,,,-0.0018,0.52,-0.28
,,,-0.00179,0.52,-0.28
,,,-0.00178,0.48,-0.28
,,,-0.00177,0.48,-0.24
,,,-0.00176,0.44,-0.16
,,,-0.00175,0.44,-0.08
,,,-0.00174,0.4,0
,,,-0.00173,0.4,0.08
,,,-0.00172,0.4,0.2
,,,-0.00171,0.4,0.28
,,,-0.0017,0.4,0.44
,,,-0.00169,0.4,0.56
,,,-0.00168,0.4,0.72
,,,-0.00167,0.4,0.88
,,,-0.00166,0.44,1
,,,-0.00165,0.44,1.16
,,,-0.00164,0.48,1.24
,,,-0.00163,0.48,1.4
,,,-0.00162,0.48,1.52
,,,-0.00161,0.56,1.64
,,,-0.0016,0.56,1.76
,,,-0.00159,0.56,1.84
,,,-0.00158,0.6,1.88
,,,-0.00157,0.64,2
,,,-0.00156,0.68,2
,,,-0.00155,0.68,2.04
,,,-0.00154,0.72,2.08
,,,-0.00153,0.76,2.04
,,,-0.00152,0.8,2.04
,,,-0.00151,0.8,2
,,,-0.0015,0.84,1.92
,,,-0.00149,0.84,1.84
,,,-0.00148,0.88,1.76
,,,-0.00147,0.88,1.68
,,,-0.00146,0.92,1.56
,,,-0.00145,0.92,1.48
,,,-0.00144,0.92,1.32
,,,-0.00143,0.96,1.2
,,,-0.00142,0.96,1.08
,,,-0.00141,0.96,0.92
,,,-0.0014,0.92,0.8
,,,-0.00139,0.92,0.68
,,,-0.00138,0.92,0.56
,,,-0.00137,0.92,0.48
,,,-0.00136,0.92,0.32
,,,-0.00135,0.88,0.24
,,,-0.00134,0.88,0.16
,,,-0.00133,0.84,0.12
,,,-0.00132,0.84,0.08
,,,-0.00131,0.8,0.04
,,,-0.0013,0.8,0.04
,,,-0.00129,0.76,0.04
,,,-0.00128,0.76,0.04
,,,-0.00127,0.76,0.12
,,,-0.00126,0.76,0.16
,,,-0.00125,0.72,0.2
,,,-0.00124,0.72,0.28
,,,-0.00123,0.72,0.4
,,,-0.00122,0.72,0.52
,,,-0.00121,0.68,0.6
,,,-0.0012,0.72,0.76
,,,-0.00119,0.72,0.88
,,,-0.00118,0.72,1.04
,,,-0.00117,0.72,1.16
,,,-0.00116,0.72,1.32
,,,-0.00115,0.76,1.48
,,,-0.00114,0.76,1.6
,,,-0.00113,0.8,1.72
,,,-0.00112,0.76,1.84
,,,-0.00111,0.8,1.96
,,,-0.0011,0.84,2.08
,,,-0.00109,0.88,2.16
,,,-0.00108,0.92,2.24
,,,-0.00107,0.92,2.28
,,,-0.00106,0.96,2.32
,,,-0.00105,1,2.36
,,,-0.00104,1.04,2.36
,,,-0.00103,1.04,2.36
,,,-0.00102,1.08,2.32
,,,-0.00101,1.12,2.32
,,,-0.001,1.16,2.24
,,,-0.00099,1.16,2.16
,,,-0.00098,1.16,2.08
,,,-0.00097,1.2,2
,,,-0.00096,1.2,1.88
,,,-0.00095,1.24,1.8
,,,-0.00094,1.24,1.64
,,,-0.00093,1.24,1.52
,,,-0.00092,1.24,1.4
,,,-0.00091,1.24,1.28
,,,-0.0009,1.24,1.12
,,,-0.00089,1.2,1
,,,-0.00088,1.2,0.88
,,,-0.00087,1.2,0.8
,,,-0.00086,1.2,0.68
,,,-0.00085,1.2,0.6
,,,-0.00084,1.16,0.52
,,,-0.00083,1.16,0.44
,,,-0.00082,1.12,0.36
,,,-0.00081,1.12,0.36
,,,-0.0008,1.12,0.32
,,,-0.00079,1.08,0.36
,,,-0.00078,1.08,0.36
,,,-0.00077,1.08,0.4
,,,-0.00076,1.04,0.44
,,,-0.00075,1.04,0.52
,,,-0.00074,1.04,0.6
,,,-0.00073,1.04,0.72
,,,-0.00072,1,0.8
,,,-0.00071,1.04,0.92
,,,-0.0007,1,1.04
,,,-0.00069,1.04,1.2
,,,-0.00068,1.04,1.32
,,,-0.00067,1,1.48
,,,-0.00066,1.04,1.64
,,,-0.00065,1.04,1.76
,,,-0.00064,1.08,1.88
,,,-0.00063,1.12,2
,,,-0.00062,1.12,2.16
,,,-0.00061,1.12,2.28
,,,-0.0006,1.16,2.36
,,,-0.00059,1.16,2.44
,,,-0.00058,1.2,2.52
,,,-0.00057,1.24,2.6
,,,-0.00056,1.24,2.64
,,,-0.00055,1.28,2.64
,,,-0.00054,1.32,2.68
,,,-0.00053,1.36,2.68
,,,-0.00052,1.36,2.64
,,,-0.00051,1.44,2.6
,,,-0.0005,1.44,2.56
,,,-0.00049,1.48,2.44
,,,-0.00048,1.48,2.36
,,,-0.00047,1.48,2.28
,,,-0.00046,1.56,2.16
,,,-0.00045,1.52,2.08
,,,-0.00044,1.52,1.92
,,,-0.00043,1.52,1.8
,,,-0.00042,1.56,1.64
,,,-0.00041,1.56,1.56
,,,-0.0004,1.56,1.4
,,,-0.00039,1.52,1.28
,,,-0.00038,1.56,1.16
,,,-0.00037,1.52,1.08
,,,-0.00036,1.52,1
,,,-0.00035,1.48,0.84
,,,-0.00034,1.48,0.76
,,,-0.00033,1.44,0.72
,,,-0.00032,1.44,0.68
,,,-0.00031,1.4,0.64
,,,-0.0003,1.4,0.6
,,,-0.00029,1.4,0.64
,,,-0.00028,1.4,0.64
,,,-0.00027,1.32,0.68
,,,-0.00026,1.32,0.72
,,,-0.00025,1.32,0.8
,,,-0.00024,1.28,0.88
,,,-0.00023,1.28,0.96
,,,-0.00022,1.32,1.08
,,,-0.00021,1.24,1.2
,,,-0.0002,1.28,1.32
,,,-0.00019,1.28,1.48
,,,-0.00018,1.28,1.6
,,,-0.00017,1.32,1.72
,,,-0.00016,1.32,1.88
,,,-0.00015,1.32,2
,,,-0.00014,1.36,2.16
,,,-0.00013,1.36,2.28
,,,-0.00012,1.36,2.4
,,,-0.00011,1.4,2.48
,,,-0.0001,1.44,2.6
,,,-0.00009,1.48,2.68
,,,-0.00008,1.48,2.76
,,,-0.00007,1.52,2.84
,,,-0.00006,1.56,2.84
,,,-0.00005,1.56,2.92
,,,-0.00004,1.6,2.92
,,,-0.00003,1.64,2.88
,,,-0.00002,1.68,2.88
,,,-0.00001,1.68,2.84
,,,0,1.72,2.76
,,,0.00001,1.72,2.68
,,,0.00002,1.76,2.64
,,,0.00003,1.76,2.52
,,,0.00004,1.76,2.36
,,,0.00005,1.8,2.28
,,,0.00006,1.8,2.16
,,,0.00007,1.8,2.04
,,,0.00008,1.8,1.88
,,,0.00009,1.8,1.76
,,,0.0001,1.8,1.64
,,,0.00011,1.8,1.48
,,,0.00012,1.76,1.36
,,,0.00013,1.76,1.24
,,,0.00014,1.76,1.16
,,,0.00015,1.76,1.08
,,,0.00016,1.72,1
,,,0.00017,1.72,0.92
,,,0.00018,1.68,0.84
,,,0.00019,1.68,0.8
,,,0.0002,1.68,0.84
,,,0.00021,1.6,0.84
,,,0.00022,1.6,0.84
,,,0.00023,1.6,0.88
,,,0.00024,1.56,0.92
,,,0.00025,1.56,1
,,,0.00026,1.56,1.08
,,,0.00027,1.52,1.16
,,,0.00028,1.52,1.28
,,,0.00029,1.52,1.4
,,,0.0003,1.52,1.52
,,,0.00031,1.56,1.64
,,,0.00032,1.52,1.8
,,,0.00033,1.52,1.92
,,,0.00034,1.56,2.08
,,,0.00035,1.56,2.2
,,,0.00036,1.56,2.32
,,,0.00037,1.6,2.44
,,,0.00038,1.6,2.6
,,,0.00039,1.6,2.72
,,,0.0004,1.64,2.76
,,,0.00041,1.68,2.88
,,,0.00042,1.72,2.96
,,,0.00043,1.76,3
,,,0.00044,1.76,3.04
,,,0.00045,1.8,3.08
,,,0.00046,1.84,3.08
,,,0.00047,1.84,3.04
,,,0.00048,1.88,3
,,,0.00049,1.88,2.96
,,,0.0005,1.92,2.92
,,,0.00051,1.96,2.84
,,,0.00052,1.96,2.76
,,,0.00053,2,2.64
,,,0.00054,1.96,2.56
,,,0.00055,2,2.44
,,,0.00056,2,2.28
,,,0.00057,2,2.16
,,,0.00058,2,2.04
,,,0.00059,2,1.88
,,,0.0006,2,1.8
,,,0.00061,2,1.64
,,,0.00062,2,1.52
,,,0.00063,1.96,1.4
,,,0.00064,2,1.28
,,,0.00065,1.96,1.2
,,,0.00066,1.92,1.12
,,,0.00067,1.92,1.08
,,,0.00068,1.88,1
,,,0.00069,1.84,0.96
,,,0.0007,1.84,0.96
,,,0.00071,1.8,0.96
,,,0.00072,1.8,0.96
,,,0.00073,1.8,1
,,,0.00074,1.76,1.08
,,,0.00075,1.76,1.08
,,,0.00076,1.76,1.16
,,,0.00077,1.72,1.28
,,,0.00078,1.72,1.36
,,,0.00079,1.72,1.52
,,,0.0008,1.68,1.64
,,,0.00081,1.72,1.76
,,,0.00082,1.72,1.88
,,,0.00083,1.72,2.04
,,,0.00084,1.72,2.16
,,,0.00085,1.72,2.28
,,,0.00086,1.76,2.44
,,,0.00087,1.76,2.52
,,,0.00088,1.76,2.64
,,,0.00089,1.8,2.76
,,,0.0009,1.8,2.88
,,,0.00091,1.84,2.96
,,,0.00092,1.88,3.04
,,,0.00093,1.92,3.12
,,,0.00094,1.92,3.16
,,,0.00095,1.96,3.16
,,,0.00096,1.96,3.16
,,,0.00097,2,3.16
,,,0.00098,2.04,3.12
,,,0.00099,2.04,3.08
,,,0.001,2.08,2.96
,,,0.00101,2.08,2.92
,,,0.00102,2.08,2.84
,,,0.00103,2.12,2.72
,,,0.00104,2.12,2.6
,,,0.00105,2.12,2.48
,,,0.00106,2.12,2.36
,,,0.00107,2.12,2.24
,,,0.00108,2.12,2.08
,,,0.00109,2.12,1.96
,,,0.0011,2.12,1.8
,,,0.00111,2.12,1.68
,,,0.00112,2.12,1.56
,,,0.00113,2.08,1.48
,,,0.00114,2.08,1.32
,,,0.00115,2.04,1.24
,,,0.00116,2.04,1.16
,,,0.00117,2,1.08
,,,0.00118,2,1.04
,,,0.00119,1.96,1
,,,0.0012,1.96,1
,,,0.00121,1.92,0.96
,,,0.00122,1.88,1
,,,0.00123,1.84,1
,,,0.00124,1.88,1.08
,,,0.00125,1.84,1.12
,,,0.00126,1.84,1.2
,,,0.00127,1.84,1.28
,,,0.00128,1.8,1.36
,,,0.00129,1.8,1.52
,,,0.0013,1.8,1.64
,,,0.00131,1.8,1.76
,,,0.00132,1.8,1.88
,,,0.00133,1.76,2
,,,0.00134,1.8,2.16
,,,0.00135,1.8,2.32
,,,0.00136,1.8,2.4
,,,0.00137,1.84,2.56
,,,0.00138,1.84,2.68
,,,0.00139,1.84,2.76
,,,0.0014,1.88,2.84
,,,0.00141,1.88,2.96
,,,0.00142,1.92,3
,,,0.00143,1.96,3.04
,,,0.00144,2,3.12
,,,0.00145,2,3.12
,,,0.00146,2.04,3.12
,,,0.00147,2.04,3.12
,,,0.00148,2.08,3.08
,,,0.00149,2.08,3.04
,,,0.0015,2.08,2.96
,,,0.00151,2.12,2.88
,,,0.00152,2.12,2.76
,,,0.00153,2.16,2.68
,,,0.00154,2.16,2.56
,,,0.00155,2.16,2.44
,,,0.00156,2.16,2.32
,,,0.00157,2.2,2.2
,,,0.00158,2.16,2.04
,,,0.00159,2.16,1.88
,,,0.0016,2.16,1.8
,,,0.00161,2.16,1.64
,,,0.00162,2.12,1.52
,,,0.00163,2.12,1.4
,,,0.00164,2.12,1.28
,,,0.00165,2.08,1.2
,,,0.00166,2.08,1.08
,,,0.00167,2.04,1.04
,,,0.00168,2,0.96
,,,0.00169,2,0.92
,,,0.0017,1.96,0.92
,,,0.00171,1.96,0.92
,,,0.00172,1.88,0.92
,,,0.00173,1.88,0.96
,,,0.00174,1.88,1
,,,0.00175,1.8,1.04
,,,0.00176,1.8,1.12
,,,0.00177,1.84,1.2
,,,0.00178,1.8,1.28
,,,0.00179,1.76,1.4
,,,0.0018,1.8,1.52
,,,0.00181,1.76,1.68
,,,0.00182,1.76,1.8
,,,0.00183,1.8,1.92
,,,0.00184,1.8,2.04
,,,0.00185,1.76,2.2
,,,0.00186,1.8,2.32
,,,0.00187,1.8,2.44
,,,0.00188,1.84,2.56
,,,0.00189,1.84,2.68
,,,0.0019,1.84,2.76
,,,0.00191,1.88,2.84
,,,0.00192,1.92,2.88
,,,0.00193,1.92,2.96
,,,0.00194,1.96,3
,,,0.00195,1.96,3
,,,0.00196,2,3
,,,0.00197,2,2.96
,,,0.00198,2.04,2.96
,,,0.00199,2.04,2.92
,,,0.002,2.04,2.84
,,,0.00201,2.08,2.76
,,,0.00202,2.08,2.68
,,,0.00203,2.12,2.56
,,,0.00204,2.12,2.4
,,,0.00205,2.12,2.32
,,,0.00206,2.12,2.16
,,,0.00207,2.12,2.04
,,,0.00208,2.12,1.88
,,,0.00209,2.12,1.76
,,,0.0021,2.12,1.64
,,,0.00211,2.08,1.48
,,,0.00212,2.08,1.36
,,,0.00213,2.04,1.24
,,,0.00214,2.04,1.12
,,,0.00215,2,1.04
,,,0.00216,2,0.96
,,,0.00217,1.92,0.88
,,,0.00218,1.96,0.8
,,,0.00219,1.88,0.76
,,,0.0022,1.88,0.72
,,,0.00221,1.88,0.72
,,,0.00222,1.84,0.72
,,,0.00223,1.84,0.76
,,,0.00224,1.76,0.8
,,,0.00225,1.76,0.84
,,,0.00226,1.72,0.96
,,,0.00227,1.72,1.04
,,,0.00228,1.72,1.12
,,,0.00229,1.72,1.24
,,,0.0023,1.72,1.36
,,,0.00231,1.68,1.48
,,,0.00232,1.68,1.6
,,,0.00233,1.68,1.76
,,,0.00234,1.68,1.88
,,,0.00235,1.68,2
,,,0.00236,1.68,2.16
,,,0.00237,1.68,2.24
,,,0.00238,1.72,2.36
,,,0.00239,1.72,2.44
,,,0.0024,1.72,2.56
,,,0.00241,1.76,2.68
,,,0.00242,1.76,2.72
,,,0.00243,1.8,2.76
,,,0.00244,1.84,2.8
,,,0.00245,1.84,2.8
,,,0.00246,1.84,2.76
,,,0.00247,1.88,2.8
,,,0.00248,1.88,2.76
,,,0.00249,1.92,2.68
,,,0.0025,1.92,2.64
,,,0.00251,1.96,2.56
,,,0.00252,1.96,2.44
,,,0.00253,1.96,2.32
,,,0.00254,1.96,2.2
,,,0.00255,1.96,2.08
,,,0.00256,1.96,1.96
,,,0.00257,1.96,1.8
,,,0.00258,1.96,1.68
,,,0.00259,2,1.52
,,,0.0026,1.92,1.4
,,,0.00261,1.92,1.24
,,,0.00262,1.92,1.12
,,,0.00263,1.92,1
,,,0.00264,1.88,0.88
,,,0.00265,1.84,0.8
,,,0.00266,1.8,0.68
,,,0.00267,1.8,0.64
,,,0.00268,1.76,0.56
,,,0.00269,1.76,0.52
,,,0.0027,1.72,0.52
,,,0.00271,1.68,0.48
,,,0.00272,1.64,0.48
,,,0.00273,1.6,0.52
,,,0.00274,1.6,0.56
,,,0.00275,1.56,0.64
,,,0.00276,1.56,0.68
,,,0.00277,1.56,0.76
,,,0.00278,1.52,0.88
,,,0.00279,1.48,1
